project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Capacity Building Workshop for Enhancing Ocean Resilience across the APEC Region,OFWG_102_2025A,2025,Oceans and Fisheries Working Group (OFWG),Korea,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 1,"115,057",0,"115,057",,Sustainable Oceans and Marine Debris; Fisheries; Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Indonesia; Peru; Philippines; Chinese Taipei; Thailand,Korea Institute of Ocean Science & Technology (KIOST),Ministry of Oceans and Fisheries,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15832
APEC Digital Education Policy Training (ADEPT) Program 2026,HRDWG_03_2026S,2026,Human Resource Development Working Group (HRDWG),Korea,Project in Implementation,Self-Funded,,,,,,"$270,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Education Korea,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16075
APEC Energy Think Tank Forum,EWG_01_2026S,2026,Energy Working Group (EWG),China,Project in Implementation,Self-Funded,,,,,,$0.00,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,China National Petroleum Corporation Economics & Technology Research Institute (CNPC ETRI),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16074
Workshop on Use of International Legal Instruments in Cross-Border Commercial Disputes and In Digital Economy,EC_01_2026S,2026,Economic Committee (EC),"Hong Kong, China",Project in Implementation,Self-Funded,,,,,,$0.00,Legal Infrastructure; Structural Reform,Economic Committee (EC),,Indonesia; Korea,Hong Kong Internaional Legal Talents Training Office,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16073
Analysis of Perspectives and Barriers for Effective Implementation of Public e-Services,EC 05 2021S,2021,Economic Committee (EC),Russia,Completed Project,Self-Funded,,,,,,$0.00,Legal Infrastructure; Structural Reform,Economic Committee (EC),,,Ministry of Economic Development,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14848
Promoting Energy Efficiency Enhancement in Electricity Generation,EWG_211_2023A,2023,Energy Working Group (EWG),"Hong Kong, China",Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"83,720","72,000","155,720",,Energy; Digital Economy; Environment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Japan; Singapore; United States; Viet Nam,"Electrical and Mechanical Services Department, HKSAR","Electrical and Mechanical Services Department, HKSAR",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15324
APEC Digital Education Policy Training (ADEPT) Program 2025,HRDWG_01_2025S,2025,Human Resource Development Working Group (HRDWG),Korea,Completed Project,Self-Funded,,,,,,"$351,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Malaysia,"Ministry of Education, Korea",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15715
APEC Forum on Jobs for the Future: AI and Demographic Changes,HRDWG_02_2026S,2026,Human Resource Development Working Group (HRDWG),Korea,Project in Implementation,Self-Funded,,,,,,"$210,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Employment and Labor,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16071
APEC Peer Review on Energy Efficiency (PREE) Phase 13,EWG_202_2023A,2023,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"99,956","168,670","268,626",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Chile; Hong Kong, China; Philippines; Singapore; Chinese Taipei; Thailand","Ministry of Economy, Trade and Industry Japan",Ministry of Economy Trade and Industry Japan,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15319
Developing best practices to address coastal marine oxygen loss in APEC economies for improving the management of marine living resources,OFWG_201_2023,2023,Oceans and Fisheries Working Group (OFWG),Peru,Completed Project,General Project Account,None,Session 2,"123,191","23,280","146,471",,Fisheries; Marine Conservation; Oceans; Human Resources Development; Environment; Education; Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; China; Russia; Chinese Taipei; Viet Nam,Instituto del Mar del Peru (IMARPE),Peruvian Marine Research Institute,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15289
Developing Tourism Indicators for the 2025 APEC State of Tourism Report,TWG_01_2026S,2026,Tourism Working Group (TWG),Korea,Project in Implementation,Self-Funded,,,,,,"$70,000.00",Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Ministry of Culture, Sports and Tourism",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16070
2026 Agricultural Biotechnology Seminar Series,HLPDAB_01_2026S,2026,High Level Policy Dialogue on Agricultural Biotechnology (HLPDAB),United States,Project in Implementation,Self-Funded,,,,,,$0.00,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; Philippines,"Trade Policy and Geographic Affairs, Foreign Agricultural Service, US Department of Agriculture",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16069
2025 APEC Conference on the Analytical Techniques for Cosmetics,SCSC_02_2025S,2025,Sub-Committee on Standards and Conformance (SCSC),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$45,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Canada,"Taiwan Food and Drug Administration (TFDA), Chinese Taipei",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15721
Capacity Building in Managing Major Infectious Diseases and Responding to Health Emergencies,HWG 01 2023A,2023,Health Working Group (HWG),China,Completed Project,APEC Support Fund,ASF: Human Security,Session 1,"114,768","109,690","224,458",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Indonesia; Thailand",China-Japan Friendship Hospital,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15135
